pid,category,name,base_price,price,unit_price,arrival,rating,reward,url
6444223952,food,"센트룸 멀티 구미 160g, 80정, 1개","24,000","22,240",(1정당 278원),내일(화) 도착 보장,(32569),"최대 1,000원 적립",coupang_img\6444223952.jpg
7532929986,food,"맛있는 오뚜기밥 발아현미, 210g, 12개","14,980","14,650",(100g당 581원),내일(화) 도착 보장,(16710),최대 733원 적립,coupang_img\7532929986.jpg
7078107918,food,"동아오츠카 포카리스웨트, 30개, 240ml","22,000","18,150",(100ml당 252원),내일(화) 도착 보장,(65781),최대 908원 적립,coupang_img\7078107918.jpg
7235506933,food,"뉴케어 당플랜 호두맛 당뇨환자영양식, 200ml, 30개","90,000","54,900",(100ml당 915원),내일(화) 도착 보장,(49708),"최대 2,745원 적립",coupang_img\7235506933.jpg
6122298140,food,"자연애찬 동물복지 무항생제 자유방목 유정란 1번란, 30구, 1개","17,970","16,900",(1구당 563원),내일(화) 새벽 도착 보장,(29277),최대 845원 적립,coupang_img\6122298140.jpg
7691729906,food,"에브리데이 산수, 1L, 36개","15,000","13,680",(100ml당 38원),내일(화) 도착 보장,(73735),최대 684원 적립,coupang_img\7691729906.jpg
5625704601,food,"탐사수 무라벨, 500ml, 80개","23,620","15,990",(100ml당 40원),내일(화) 도착 보장,(1055232),최대 800원 적립,coupang_img\5625704601.jpg
5071892418,food,"펩시 제로슈거 라임향, 210ml, 30개","15,090","14,900",(100ml당 237원),내일(화) 도착 보장,(189421),최대 745원 적립,coupang_img\5071892418.jpg
6263639394,food,"푸드올로지 맨올로지컷 다이어트 보조제, 80정, 1개","61,000","36,740",(1정당 459원),내일(화) 도착 보장,(22089),"최대 1,837원 적립",coupang_img\6263639394.jpg
5857057144,food,"펩시 제로슈거 라임향, 210ml, 30개","15,090","14,900",(100ml당 237원),내일(화) 새벽 도착 보장,(15568),최대 745원 적립,coupang_img\5857057144.jpg
4947691572,food,"가농 1+ 등급란으로 만든 비타민 구운란 30구, 1개","17,900","15,250",(1구당 508원),내일(화) 새벽 도착 보장,(27537),최대 763원 적립,coupang_img\4947691572.jpg
5032122250,food,"롯데제과 자일리톨 알파 껌 리필, 168g, 3개","57,540","42,420",(10g당 842원),5/31(금) 도착 예정,(72164),"최대 2,121원 적립",coupang_img\5032122250.jpg
7235457880,food,"오뚜기 맛있는 오뚜기밥, 210g, 36개","41,940","28,900",(100g당 382원),내일(화) 도착 보장,(578447),"최대 1,445원 적립",coupang_img\7235457880.jpg
7648429611,food,"밀키스 제로 탄산음료, 250ml, 30개","19,000","16,400",(100ml당 219원),내일(화) 도착 보장,(15575),최대 820원 적립,coupang_img\7648429611.jpg
568210,food,"하이트진로 진로 토닉워터, 600ml, 20개","19,110","18,500",(100ml당 154원),내일(화) 도착 보장,(56754),최대 925원 적립,coupang_img\568210.jpg
7689270513,food,"탐사 샘물, 500ml, 80개","25,960","14,990",(100ml당 37원),내일(화) 도착 보장,(27553),최대 750원 적립,coupang_img\7689270513.jpg
130180913,food,"서울우유 1급A우유, 2300ml, 3개","18,840","17,340",(100ml당 251원),내일(화) 새벽 도착 보장,(1124871),최대 867원 적립,coupang_img\130180913.jpg
7525629083,food,"이롬 황성주 국산콩두유 무가당 190ml, 32개","53,700","37,600",(100ml당 618원),5/30(목) 도착 예정,(37856),"최대 1,880원 적립",coupang_img\7525629083.jpg
7778899675,food,"립톤 아이스티 분말 복숭아맛, 1.5kg, 1개입, 1개","19,900","13,300",(10g당 89원),내일(화) 도착 보장,(58303),최대 665원 적립,coupang_img\7778899675.jpg
7358278791,food,"종근당건강 프로메가 알티지 오메가3 듀얼 플러스, 60정, 1개","26,900","13,500",(1정당 225원),내일(화) 도착 보장,(41256),최대 675원 적립,coupang_img\7358278791.jpg
7319897785,food,"가리비 관자살 (냉동), 500g, 1개","15,900","12,650","(100g당 2,530원)",내일(화) 새벽 도착 보장,(3504),최대 633원 적립,coupang_img\7319897785.jpg
14111627,food,"오뚜기 진라면 매운맛, 40개","31,640","22,050",(1개당 551원),내일(화) 도착 보장,(419184),"최대 1,103원 적립",coupang_img\14111627.jpg
6758626859,food,"에비앙 생수, 500ml, 24개","22,760","22,290",(100ml당 186원),내일(화) 도착 보장,(39859),"최대 1,115원 적립",coupang_img\6758626859.jpg
7066609232,food,"맥심 화이트 골드 커피믹스, 11.7g, 160개입, 2개","40,370","37,260",(10g당 100원),내일(화) 도착 보장,(222969),"최대 1,863원 적립",coupang_img\7066609232.jpg
7297193823,food,"곰곰 백명란, 500g, 1개","13,640","10,640",(10g당 213원),내일(화) 새벽 도착 보장,(13575),최대 532원 적립,coupang_img\7297193823.jpg
2510991,food,"동아오츠카 나랑드사이다 제로, 500ml, 20개","20,000","14,900",(100ml당 149원),내일(화) 도착 보장,(140095),최대 745원 적립,coupang_img\2510991.jpg
2358334844,food,"일화 부르르 제로사이다, 250ml, 30개","12,370","11,960",(100ml당 159원),내일(화) 도착 보장,(37316),최대 598원 적립,coupang_img\2358334844.jpg
7425377330,food,"투데이넛 너트한줌 요거트 견과 선물세트 30개입, 600g, 1세트","17,600","14,780","(1세트당 14,780원)",내일(화) 도착 보장,(37907),최대 739원 적립,coupang_img\7425377330.jpg
9371774,food,"코카콜라 오리지널, 190ml, 60개","31,710","30,000",(100ml당 263원),내일(화) 도착 보장,(125265),"최대 1,500원 적립",coupang_img\9371774.jpg
6988442433,food,"뉴트리디데이 프리미엄 밀크씨슬 골드 500mg, 90정, 1개","23,160","12,900",(1정당 143원),내일(화) 도착 보장,(26543),최대 613원 적립,coupang_img\6988442433.jpg
7769994860,food,"종가 맛김치 PET, 1.2kg, 1개","16,000","13,280","(100g당 1,107원)",내일(화) 새벽 도착 보장,(23181),최대 664원 적립,coupang_img\7769994860.jpg
5625704601,food,"탐사수 무라벨, 500ml, 60개","19,470","12,590",(100ml당 42원),내일(화) 도착 보장,(1055232),최대 620원 적립,coupang_img\5625704601.jpg
7075133888,food,"농협안심한우 정육 세절 1등급 국거리용 (냉장), 300g, 1팩","22,900","11,670","(100g당 3,890원)",내일(화) 새벽 도착 보장,(12238),최대 579원 적립,coupang_img\7075133888.jpg
4567751809,food,"하림 치킨너겟 (냉동), 1200g, 1개","13,300","12,280","(100g당 1,023원)",내일(화) 새벽 도착 보장,(96427),최대 614원 적립,coupang_img\4567751809.jpg
344626827,food,"곰곰 국내산 포기 김치, 2kg, 1개","16,990","11,890",(100g당 595원),내일(화) 새벽 도착 보장,(22635),최대 595원 적립,coupang_img\344626827.jpg
6694512657,food,"프렌치카페 마일드 프리미엄 에디션 카페믹스, 11.1g, 210개입, 1개","30,450","25,020",(10g당 107원),내일(화) 도착 보장,(244248),"최대 1,251원 적립",coupang_img\6694512657.jpg
7956687035,food,"태국산 남독마이 망고 L, 1.3kg(4입), 1개","17,290","15,640","(100g당 1,203원)",내일(화) 새벽 도착 보장,(7933),최대 782원 적립,coupang_img\7956687035.jpg
162464627,food,"하림 자연실록 무항생제 인증 닭다리 북채 (냉장), 400g, 2팩","12,800","12,520","(100g당 1,565원)",내일(화) 새벽 도착 보장,(61764),최대 626원 적립,coupang_img\162464627.jpg
